Model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Random Forest,7471722.51586526,5801737.539335812,2581.358244443895,899.0618052763639,0.832159100204944,0.058893765249588934
SVR,42193292.83422385,20247860.430887803,6312.638133404486,1530.9776715913863,0.09827745354094926,0.10563697241684086
Neural Network,41671265.17966775,58062483.57160348,5415.779866142928,3512.918106239973,-0.276497603264739,2.0447306530105736
